tenant_id,party_type,party_code,name_display,country,created_on,is_one_time,risk_flags,last_change_ts,raw_event_id,updated_at
1,VENDOR,V100000,Beta Tech 760,DEU,2023-02-17,false,{},2025-05-06T07:37:00+09:00,,2025-03-13T03:29:00+09:00
1,VENDOR,V100001,Beta Partners 33,KOR,2023-05-24,false,{},2025-02-17T07:27:00+09:00,,2025-04-30T17:14:00+09:00
1,VENDOR,V100002,Alpha Works 204,GBR,2023-03-27,false,{},2025-11-29T23:56:00+09:00,,2025-10-07T14:19:00+09:00
1,VENDOR,V100003,Omni Logistics 829,BRA,2024-04-21,false,{},2025-01-04T05:26:00+09:00,,2025-12-24T14:25:00+09:00
1,VENDOR,V100004,Nova Solutions 221,BRA,2023-12-20,false,{},2025-06-22T03:29:00+09:00,,2025-02-17T12:58:00+09:00
1,VENDOR,V100005,Apex Industries 619,DEU,2024-08-25,false,{},2026-02-18T01:28:00+09:00,,2026-01-09T15:40:00+09:00
1,VENDOR,V100006,Beta Partners 81,SGP,2023-06-02,false,{},2025-05-31T21:27:00+09:00,,2025-11-13T12:20:00+09:00
1,VENDOR,V100007,Delta Trading 47,GBR,2023-04-21,false,{},2025-04-27T09:52:00+09:00,,2025-02-10T07:56:00+09:00
1,VENDOR,V100008,Zen Logistics 465,GBR,2024-08-21,false,{},2026-03-04T12:27:00+09:00,,2025-03-25T12:38:00+09:00
1,VENDOR,V100009,Delta Logistics 719,GBR,2023-12-05,false,{},2025-11-28T02:26:00+09:00,,2025-11-08T21:40:00+09:00
1,VENDOR,V100010,Vertex Holdings 168,JPN,2024-06-10,false,{},2025-07-14T09:12:00+09:00,,2026-04-19T21:50:00+09:00
1,VENDOR,V100011,Delta Industries 864,BRA,2023-05-12,false,{},2026-02-02T01:54:00+09:00,,2025-04-28T01:05:00+09:00
1,VENDOR,V100012,Zen Logistics 68,USA,2024-01-14,false,{},2026-04-13T19:21:00+09:00,,2026-03-25T10:44:00+09:00
1,VENDOR,V100013,Omni Partners 906,GBR,2024-04-29,false,{},2025-08-23T04:52:00+09:00,,2025-05-16T04:45:00+09:00
1,VENDOR,V100014,Vertex Works 270,GBR,2024-03-25,false,{},2025-10-27T14:37:00+09:00,,2026-04-05T19:55:00+09:00
1,VENDOR,V100015,Apex Holdings 142,SGP,2023-10-21,false,{},2025-09-10T03:06:00+09:00,,2026-01-22T01:36:00+09:00
1,VENDOR,V100016,Gamma Solutions 812,GBR,2024-08-12,false,{},2025-08-05T20:21:00+09:00,,2025-02-02T13:08:00+09:00
1,VENDOR,V100017,Pioneer Labs 542,DEU,2023-11-08,false,{},2026-05-13T18:53:00+09:00,,2026-03-17T00:23:00+09:00
1,VENDOR,V100018,Vertex Logistics 788,GBR,2024-08-07,false,{},2025-06-24T03:48:00+09:00,,2025-05-31T14:50:00+09:00
1,VENDOR,V100019,Omni Tech 977,GBR,2024-06-24,false,{},2026-03-25T08:59:00+09:00,,2026-05-13T17:05:00+09:00
1,VENDOR,V100020,Vertex Trading 892,GBR,2024-06-03,false,{},2025-06-02T21:48:00+09:00,,2025-09-17T20:47:00+09:00
1,VENDOR,V100021,Gamma Industries 781,USA,2024-05-13,false,{},2025-10-04T18:06:00+09:00,,2026-04-16T00:01:00+09:00
1,VENDOR,V100022,Apex Labs 20,KOR,2023-03-30,false,{},2026-04-21T12:23:00+09:00,,2026-03-26T10:29:00+09:00
1,VENDOR,V100023,Alpha Holdings 900,SGP,2024-04-01,false,{},2026-04-30T02:41:00+09:00,,2025-02-13T16:35:00+09:00
1,VENDOR,V100024,Vertex Solutions 132,GBR,2024-09-23,false,{},2025-09-01T18:45:00+09:00,,2025-03-26T09:02:00+09:00
1,VENDOR,V100025,Pioneer Partners 988,USA,2023-06-11,false,{},2026-04-21T18:24:00+09:00,,2026-01-22T23:32:00+09:00
1,VENDOR,V100026,Nova Partners 688,GBR,2024-05-11,false,{},2025-07-11T14:57:00+09:00,,2026-04-06T17:39:00+09:00
1,VENDOR,V100027,Beta Holdings 231,KOR,2023-08-28,false,{},2025-06-23T00:43:00+09:00,,2025-10-29T18:54:00+09:00
1,VENDOR,V100028,Pioneer Holdings 8,KOR,2024-04-11,false,{},2025-12-29T21:32:00+09:00,,2025-01-31T07:48:00+09:00
1,VENDOR,V100029,Alpha Industries 73,SGP,2024-09-24,false,{},2025-05-02T09:30:00+09:00,,2025-12-09T16:34:00+09:00
1,VENDOR,V100030,Vertex Solutions 741,SGP,2024-04-27,false,{},2025-10-23T16:08:00+09:00,,2025-05-05T16:08:00+09:00
1,VENDOR,V100031,Delta Trading 100,GBR,2023-10-13,false,{},2025-08-09T12:05:00+09:00,,2025-08-05T14:01:00+09:00
1,VENDOR,V100032,Alpha Trading 63,JPN,2023-08-12,false,{},2026-01-08T11:34:00+09:00,,2026-02-14T03:43:00+09:00
1,VENDOR,V100033,Delta Holdings 550,JPN,2024-03-23,false,{},2025-03-13T14:24:00+09:00,,2025-04-04T09:30:00+09:00
1,VENDOR,V100034,Delta Trading 454,BRA,2023-08-17,false,{},2026-03-18T18:47:00+09:00,,2025-02-20T01:43:00+09:00
1,VENDOR,V100035,Vertex Tech 993,KOR,2023-02-04,false,{},2026-04-20T08:04:00+09:00,,2025-03-27T13:52:00+09:00
1,VENDOR,V100036,Omni Holdings 886,JPN,2023-07-24,false,{},2026-04-08T02:00:00+09:00,,2025-03-26T12:56:00+09:00
1,VENDOR,V100037,Zen Logistics 949,BRA,2024-11-30,false,{},2026-02-06T15:31:00+09:00,,2025-05-27T14:26:00+09:00
1,VENDOR,V100038,Omni Solutions 195,DEU,2023-05-13,false,{},2025-04-22T01:59:00+09:00,,2025-10-24T18:30:00+09:00
1,VENDOR,V100039,Apex Tech 52,SGP,2024-10-01,false,{},2025-09-02T17:09:00+09:00,,2026-04-16T18:07:00+09:00
1,VENDOR,V100040,Alpha Works 83,BRA,2024-06-24,false,{},2025-04-06T02:20:00+09:00,,2025-11-01T02:19:00+09:00
1,VENDOR,V100041,Zen Trading 965,SGP,2024-04-06,false,{},2025-05-07T19:45:00+09:00,,2025-11-01T01:21:00+09:00
1,VENDOR,V100042,Beta Partners 674,SGP,2023-03-09,false,{},2025-10-17T17:50:00+09:00,,2025-06-11T08:54:00+09:00
1,VENDOR,V100043,Apex Holdings 272,JPN,2024-05-07,false,{},2025-03-09T22:55:00+09:00,,2025-11-27T10:14:00+09:00
1,VENDOR,V100044,Apex Trading 10,JPN,2023-08-22,false,{},2025-11-15T19:13:00+09:00,,2025-02-21T02:30:00+09:00
1,VENDOR,V100045,Delta Works 272,USA,2023-06-01,false,{},2026-04-23T11:54:00+09:00,,2026-03-28T02:20:00+09:00
1,VENDOR,V100046,Apex Logistics 162,JPN,2024-03-27,false,{},2026-03-03T18:32:00+09:00,,2025-12-27T10:19:00+09:00
1,VENDOR,V100047,Vertex Tech 684,BRA,2023-03-17,false,{},2025-10-11T10:13:00+09:00,,2026-04-23T22:38:00+09:00
1,VENDOR,V100048,Gamma Logistics 119,KOR,2024-08-18,false,{},2026-01-16T18:53:00+09:00,,2025-03-21T09:17:00+09:00
1,VENDOR,V100049,Pioneer Holdings 735,DEU,2024-02-18,false,{},2025-04-15T23:27:00+09:00,,2025-11-21T09:00:00+09:00
1,VENDOR,V100050,Omni Logistics 928,BRA,2023-07-04,false,{},2025-01-27T03:09:00+09:00,,2025-11-21T14:27:00+09:00
1,VENDOR,V100051,Alpha Tech 342,BRA,2024-02-23,false,{},2025-03-08T21:44:00+09:00,,2025-05-15T05:30:00+09:00
1,VENDOR,V100052,Vertex Partners 575,KOR,2023-09-07,false,{},2025-02-27T02:34:00+09:00,,2026-04-29T23:35:00+09:00
1,VENDOR,V100053,Vertex Tech 855,DEU,2024-07-03,false,{},2025-10-26T18:51:00+09:00,,2025-03-17T14:40:00+09:00
1,VENDOR,V100054,Alpha Logistics 374,BRA,2024-07-25,false,{},2026-05-13T01:21:00+09:00,,2026-04-06T12:12:00+09:00
1,VENDOR,V100055,Delta Trading 363,BRA,2024-05-01,false,{},2025-10-14T13:52:00+09:00,,2026-05-14T21:11:00+09:00
1,VENDOR,V100056,Delta Solutions 820,BRA,2024-06-27,false,{},2025-04-01T14:04:00+09:00,,2025-01-13T06:07:00+09:00
1,VENDOR,V100057,Zen Holdings 274,USA,2023-12-28,false,{},2026-02-08T23:56:00+09:00,,2025-02-25T13:03:00+09:00
1,VENDOR,V100058,Omni Holdings 205,BRA,2024-10-24,false,{},2026-04-16T15:42:00+09:00,,2025-06-29T10:25:00+09:00
1,VENDOR,V100059,Delta Tech 676,USA,2024-04-13,false,{},2025-07-24T11:12:00+09:00,,2025-05-23T02:22:00+09:00
1,VENDOR,V100060,Apex Works 410,GBR,2024-02-21,false,{},2026-03-08T18:18:00+09:00,,2025-06-19T00:56:00+09:00
1,VENDOR,V100061,Nova Solutions 595,DEU,2024-08-06,false,{},2025-01-20T03:42:00+09:00,,2025-11-02T14:49:00+09:00
1,VENDOR,V100062,Apex Partners 621,SGP,2023-12-15,false,{},2025-03-01T13:08:00+09:00,,2026-04-06T19:40:00+09:00
1,VENDOR,V100063,Nova Tech 726,JPN,2024-05-22,false,{},2025-01-01T17:44:00+09:00,,2026-04-19T18:22:00+09:00
1,VENDOR,V100064,Apex Partners 72,GBR,2024-05-15,false,{},2026-04-17T11:16:00+09:00,,2025-11-16T10:42:00+09:00
1,VENDOR,V100065,Nova Works 317,GBR,2024-07-28,false,{},2025-07-29T11:08:00+09:00,,2025-07-26T23:47:00+09:00
1,VENDOR,V100066,Vertex Solutions 197,JPN,2024-02-04,false,{},2025-12-07T12:56:00+09:00,,2025-12-13T05:56:00+09:00
1,VENDOR,V100067,Pioneer Logistics 416,SGP,2023-03-13,false,{},2026-03-03T00:00:00+09:00,,2025-06-05T09:47:00+09:00
1,VENDOR,V100068,Zen Industries 477,JPN,2024-05-01,false,{},2025-08-15T23:03:00+09:00,,2025-04-20T17:26:00+09:00
1,VENDOR,V100069,Gamma Trading 291,SGP,2023-08-06,false,{},2025-12-06T21:36:00+09:00,,2025-11-14T11:26:00+09:00
1,VENDOR,V100070,Delta Logistics 231,BRA,2024-08-29,false,{},2025-04-12T05:01:00+09:00,,2025-01-13T01:34:00+09:00
1,VENDOR,V100071,Omni Trading 467,JPN,2024-03-27,false,{},2026-03-30T21:29:00+09:00,,2025-10-22T06:38:00+09:00
1,VENDOR,V100072,Omni Partners 250,USA,2023-11-05,false,{},2025-12-02T23:28:00+09:00,,2025-01-03T03:38:00+09:00
1,VENDOR,V100073,Delta Solutions 824,GBR,2023-09-24,false,{},2025-09-23T15:51:00+09:00,,2025-01-26T19:01:00+09:00
1,VENDOR,V100074,Beta Labs 137,BRA,2024-03-22,false,{},2025-08-26T22:47:00+09:00,,2025-09-29T19:04:00+09:00
1,VENDOR,V100075,Apex Labs 628,BRA,2023-04-03,false,{},2026-01-04T17:13:00+09:00,,2025-08-07T18:42:00+09:00
1,VENDOR,V100076,Gamma Labs 461,DEU,2023-09-03,false,{},2026-01-20T08:26:00+09:00,,2026-03-07T21:45:00+09:00
1,VENDOR,V100077,Vertex Labs 642,USA,2024-02-23,false,{},2025-05-21T15:00:00+09:00,,2025-02-09T09:45:00+09:00
1,VENDOR,V100078,Nova Industries 328,SGP,2024-04-06,false,{},2025-02-11T04:43:00+09:00,,2025-03-19T07:53:00+09:00
1,VENDOR,V100079,Gamma Holdings 66,JPN,2023-11-06,false,{},2025-07-28T11:17:00+09:00,,2025-10-05T15:54:00+09:00
